plant_fut_SZ,seed_SZ,HTp
futCM13,M21,0.4453173309
futCM13,M22,0.588795609
futCM13,M32,0.5043270122
futCM13,M41,0.440946289
futCM13,M42,0.3016422243
futCM13,M43,0.4822191527
futCM13,M44,0.459816
futCM13,M45,0.4575384118
futCM13,M51,0.3832814805
futCM13,M53,0.3844548015
futCM13,M54,0.3918364427
futCM13,M55,0.4123855542
futCM13,M56,0.3656164426
futCM13,MG11,0.6747505249
futCM13,MG12,0.5657518463
futCM13,MG13,0.6234972245
futCM13,NF11,0.8224393951
futCM13,NM11,0.7847075032
futCM13,NM21,0.7507845384
futCM13,PAD11,0.8786403664
futCM13,PRP11,0.8776561211
futCM13,SA11,0.3038662961
futCM13,SA12,0.2832541312
futCM13,SA21,0.1766439854
futCM13,SA22,0.1692775456
futCM13,SA31,0.2580827645
futCM13,SA32,0.3062571141
futCM13,SA33,0.2718455208
futCM13,SA41,0.1644729408
futCM13,SA42,0.2073798937
futCM13,SA43,0.1792945489
futCM13,UBH11,0.7474883619
futCM13,UBH12,0.8019874834
futCM13,UBH13,0.7051806057
futCM13,UF11,0.4309160954
futCM13,UF12,0.4623939566
futCM13,UF13,0.4226542445
futCM13,UF14,0.4242216601
futCM13,UF15,0.4364510105
futCM13,UF24,0.3642437234
futCM13,UF25,0.3454641192
futCM21,AP11,0.8303624787
futCM21,BSA11,0.5803915113
futCM21,BSA12,0.5946055891
futCM21,CM11,0.7942001501
futCM21,CM12,0.8873936745
futCM21,CM13,0.8389271603
futCM21,CM21,0.9049550637
futCM21,CM22,0.9004169187
futCM21,CM23,0.9054818732
futCM21,CM24,0.9100454551
futCM21,CM31,0.9106213668
futCM21,CM32,0.8779735483
futCM21,CM33,0.8686055546
futCM21,CM34,0.7968235044
futCM21,CM35,0.7381080653
futCM21,CP11,0.8957955011
futCM21,CP12,0.8497339984
futCM21,DM11,0.898907212
futCM21,DM12,0.8979649823
futCM21,DM13,0.8989036724
futCM21,DM21,0.927579425
futCM21,DM22,0.8701099043
futCM21,DM23,0.6981326622
futCM21,DMG11,0.6690363088
futCM21,FF11,0.6665335223
futCM21,FP11,0.5970438134
futCM21,FP12,0.4662188871
futCM21,KU11,0.6711863946
futCM21,LBH11,0.794752893
futCM21,LBH12,0.6914824832
futCM21,LBH13,0.8025877508
futCM21,LBH14,0.8435834976
futCM21,LBH15,0.8522805772
futCM21,LBH16,0.8280524064
futCM21,LBH21,0.6558976911
futCM21,LF11,0.7974212486
futCM21,LF12,0.7872203401
futCM21,LF13,0.6758936401
futCM21,LF14,0.6498023625
futCM21,LF15,0.6876383274
futCM21,LF21,0.6088389218
futCM21,LF22,0.61056137
futCM21,LF23,0.5448685065
futCM21,M11,0.5940114842
futCM21,M21,0.4987063924
futCM21,M22,0.608272037
futCM21,M32,0.545307448
futCM21,M41,0.4768721697
futCM21,M42,0.3398340358
futCM21,M43,0.5237566666
futCM21,M44,0.5143741296
futCM21,M45,0.5087380428
futCM21,M51,0.4146468931
futCM21,M53,0.4240942117
futCM21,M54,0.4404563503
futCM21,M55,0.4629647352
futCM21,M56,0.4220900195
futCM21,MG11,0.6977715267
futCM21,MG12,0.5777419913
futCM21,MG13,0.6178147593
futCM21,NF11,0.8289474705
futCM21,NM11,0.6905818728
futCM21,NM21,0.6774952958
futCM21,PAD11,0.7953249737
futCM21,PRP11,0.8885734616
futCM21,SA11,0.3519796882
futCM21,SA12,0.322445025
futCM21,SA21,0.2103182281
futCM21,SA22,0.1977994688
futCM21,SA31,0.2945740511
futCM21,SA32,0.3453777826
futCM21,SA33,0.3198307325
futCM21,SA41,0.1928879845
futCM21,SA42,0.2387596753
futCM21,SA43,0.2186082477
futCM21,UBH11,0.7268672466
futCM21,UBH12,0.782394209
futCM21,UBH13,0.7195789982
futCM21,UF11,0.5045992341
futCM21,UF12,0.5336472828
futCM21,UF13,0.4871893633
futCM21,UF14,0.4880860088
futCM21,UF15,0.4936961663
futCM21,UF24,0.4147659103
futCM21,UF25,0.394210303
futCM22,AP11,0.8230042388
futCM22,BSA11,0.5885519433
futCM22,BSA12,0.5969940111
futCM22,CM11,0.78358793
futCM22,CM12,0.8817045226
futCM22,CM13,0.8342475826
futCM22,CM21,0.9070959483
futCM22,CM22,0.9053180218
futCM22,CM23,0.9121855099
futCM22,CM24,0.9214661309
futCM22,CM31,0.9247839415
futCM22,CM32,0.8983336937
futCM22,CM33,0.8888362585
futCM22,CM34,0.8219185831
futCM22,CM35,0.7657701533
futCM22,CP11,0.9114366122
futCM22,CP12,0.866514641
futCM22,DM11,0.8922303863
futCM22,DM12,0.906000743
futCM22,DM13,0.9138121343
